,OBJECTID,Shape,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_type_text,whole_route_length_km,jlm_route_length_km,percent_inside_jlm,Shape_Length,routeid,Direction,Alternative
0,1,"(35.21794878674518, 31.795951273184997)",103042,10746,21,1,הר הרצל-ירושלים<->חיל האויר-ירושלים-10,73001-1-0,0,,"Tram, Streetcar, Light rail",13.449999809265137,13.449999809265137,1.0,0.13452750494529198,73001,1,0
1,2,"(35.217948786745175, 31.79595127318501)",103092,10747,21,1,חיל האויר-ירושלים<->הר הרצל-ירושלים-20,73001-2-0,0,,"Tram, Streetcar, Light rail",13.449999809265137,13.449999809265137,1.0,0.13452750494529192,73001,2,0
2,3,"(35.22302780785876, 31.837540673268258)",105816,20630,42,271,דרך בית חנינא/דג'אני-ירושלים<->דרך בית חנינא/דג'אני-ירושלים-32,17271-3-2,3,,Bus,5.230000019073486,5.230000019073486,1.0,0.052343001985010865,17271,3,2
3,4,"(35.17435506401925, 31.769711930390685)",108064,10815,3,728,בי''ח אלין/אולסוונגר-ירושלים<->עין כרם/ההדסים-ירושלים-2#,10728-2-#,3,FF9933,Bus,4.869999885559082,4.869999885559082,1.0,0.04869785221384461,10728,2,#
4,5,"(35.214799995365254, 31.878971658923305)",108989,20626,42,278,אל כרז-מטה בנימין<->אל כרז-מטה בנימין-32,11278-3-2,3,,Bus,4.139999866485596,2.359999895095825,0.5700482726097107,0.041373839437862686,11278,3,2
5,6,"(35.24208877841216, 31.7764412945988)",112420,27044,45,236,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-31,14236-3-1,3,,Bus,6.900000095367432,6.519999980926514,0.9449275135993958,0.0690200166288718,14236,3,1
6,7,"(35.22375392829135, 31.794306606074038)",115802,5502,3,22,שדרות נווה יעקב/משה סנה-ירושלים<->חניון תלפיות/ברעם-ירושלים-2#,12022-2-#,3,,Bus,17.850000381469727,17.850000381469727,1.0,0.17853160972722645,12022,2,#
7,8,"(35.13531081276515, 31.805215995420966)",116114,17105,34,195,נטף א-נטף<->בנייני האומה/שז''ר-ירושלים-20,12195-2-0,3,,Bus,16.559999465942383,4.900000095367432,0.29589372873306274,0.16556628451758768,12195,2,0
8,9,"(35.13690771328539, 31.804673089308757)",116115,17106,34,195,נטף א-נטף<->בנייני האומה/שז''ר-ירושלים-21,12195-2-1,3,,Bus,18.799999237060547,4.900000095367432,0.2606383264064789,0.187985891693424,12195,2,1
9,10,"(35.21851689926557, 31.786954999381706)",116438,26224,3,755,ממילא/קריב-ירושלים<->קרית מדע/גולדה-ירושלים-19,10755-1-9,3,FF9933,Bus,4.360000133514404,4.360000133514404,1.0,0.04355059850219127,10755,1,9
10,11,"(35.213124468929784, 31.769739493023025)",116718,10396,3,7,קמפוס ספרא/מסוף כפר ההייטק-ירושלים<->מסוף/רמת רחל-רמת רחל-2#,18007-2-#,3,,Bus,11.8100004196167,11.8100004196167,1.0,0.11806693185610315,18007,2,#
