,CODE OF LOCALITY,name_hebrew,name_english,socioeco_2019,pop_2019,RANK_2019,YISHUV_STAT11,ultraorthodox_percent,updated_ultraorthodox_percent
0,31,אופקים,OFAQIM,3.0,6123,106.0,31000006,63.5,63.5
1,31,אופקים,OFAQIM,3.0,3044,254.0,31000003,18.5,18.5
2,31,אופקים,OFAQIM,3.0,3043,271.0,31000004,56.8,56.8
3,31,אופקים,OFAQIM,3.0,2773,375.0,31000002,..,0.0
4,31,אופקים,OFAQIM,3.0,5246,376.0,31000001,,0.0
5,31,אופקים,OFAQIM,3.0,10424,611.0,31000007,25.3,25.3
6,2400,אור יהודה,OR YEHUDA,5.0,219,265.0,24000011,,0.0
7,2400,אור יהודה,OR YEHUDA,5.0,2023,287.0,24000005,..,0.0
8,2400,אור יהודה,OR YEHUDA,5.0,2023,287.0,24000005,3.8,3.8
9,2400,אור יהודה,OR YEHUDA,5.0,1797,322.0,24000008,18.3,18.3
10,2400,אור יהודה,OR YEHUDA,5.0,3260,357.0,24000007,..,0.0
11,2400,אור יהודה,OR YEHUDA,5.0,3260,357.0,24000007,2.1,2.1
12,2400,אור יהודה,OR YEHUDA,5.0,2331,471.0,24000003,..,0.0
13,2400,אור יהודה,OR YEHUDA,5.0,3504,507.0,24000004,2.9,2.9
14,2400,אור יהודה,OR YEHUDA,5.0,3504,507.0,24000004,8.3,8.3
15,2400,אור יהודה,OR YEHUDA,5.0,2399,590.0,24000002,9,9.0
16,2400,אור יהודה,OR YEHUDA,5.0,4168,642.0,24000012,..,0.0
17,2400,אור יהודה,OR YEHUDA,5.0,5919,857.0,24000001,..,0.0
18,2400,אור יהודה,OR YEHUDA,5.0,461,900.0,24000013,,0.0
19,2400,אור יהודה,OR YEHUDA,5.0,7181,1069.0,24000009,..,0.0
20,2400,אור יהודה,OR YEHUDA,5.0,3332,1206.0,24000010,..,0.0
21,1020,אור עקיבא,OR AQIVA,5.0,3065,305.0,10200002,..,0.0
22,1020,אור עקיבא,OR AQIVA,5.0,4704,439.0,10200003,9.9,9.9
23,1020,אור עקיבא,OR AQIVA,5.0,3913,835.0,10200005,..,0.0
24,1020,אור עקיבא,OR AQIVA,5.0,2232,937.0,10200004,,0.0
25,1020,אור עקיבא,OR AQIVA,5.0,4881,938.0,10200001,..,0.0
26,565,אזור,AZOR,7.0,3901,940.0,56500002,5.5,5.5
27,565,אזור,AZOR,7.0,4721,978.0,56500003,..,0.0
28,565,אזור,AZOR,7.0,4189,1160.0,56500001,..,0.0
29,2600,אילת,ELAT,6.0,3970,472.0,26000021,1.9,1.9
30,2600,אילת,ELAT,6.0,766,516.0,26000012,,0.0
31,2600,אילת,ELAT,6.0,3052,543.0,26000022,2.1,2.1
32,2600,אילת,ELAT,6.0,3746,554.0,26000014,,0.0
33,2600,אילת,ELAT,6.0,3785,565.0,26000015,..,0.0
34,2600,אילת,ELAT,6.0,2293,578.0,26000025,..,0.0
35,2600,אילת,ELAT,6.0,5856,680.0,26000023,..,0.0
36,2600,אילת,ELAT,6.0,3576,781.0,26000031,..,0.0
37,2600,אילת,ELAT,6.0,847,783.0,26000013,,0.0
38,2600,אילת,ELAT,6.0,2825,896.0,26000035,,0.0
39,2600,אילת,ELAT,6.0,341,929.0,26000016,,0.0
40,2600,אילת,ELAT,6.0,245,957.0,26000011,,0.0
41,2600,אילת,ELAT,6.0,3548,1010.0,26000033,..,0.0
42,2600,אילת,ELAT,6.0,9974,1050.0,26000036,..,0.0
43,2600,אילת,ELAT,6.0,1589,1093.0,26000032,,0.0
44,2600,אילת,ELAT,6.0,3726,1110.0,26000024,,0.0
45,2600,אילת,ELAT,6.0,2138,1116.0,26000034,..,0.0
46,1309,אלעד,EL'AD,2.0,6652,115.0,13090004,93.5,93.5
47,1309,אלעד,EL'AD,2.0,6407,129.0,13090005,93,93.0
48,1309,אלעד,EL'AD,2.0,7240,154.0,13090006,95,95.0
49,1309,אלעד,EL'AD,2.0,7875,162.0,13090001,92.2,92.2
50,1309,אלעד,EL'AD,2.0,8273,171.0,13090007,95.8,95.8
51,1309,אלעד,EL'AD,2.0,5376,182.0,13090003,84.9,84.9
52,1309,אלעד,EL'AD,2.0,6933,190.0,13090002,82.9,82.9
53,3570,אריאל,ARI'EL,6.0,6309,558.0,35700005,..,0.0
54,3570,אריאל,ARI'EL,6.0,2112,923.0,35700001,,0.0
55,3570,אריאל,ARI'EL,6.0,4044,956.0,35700004,..,0.0
56,3570,אריאל,ARI'EL,6.0,2715,973.0,35700002,,0.0
57,3570,אריאל,ARI'EL,6.0,5353,1039.0,35700003,..,0.0
58,70,אשדוד,ASHDOD,5.0,5928,63.0,70000141,99.6,99.6
59,70,אשדוד,ASHDOD,5.0,4653,92.0,70000213,,0.0
60,70,אשדוד,ASHDOD,5.0,7576,98.0,70000211,99.5,99.5
61,70,אשדוד,ASHDOD,5.0,7154,112.0,70000144,69.8,69.8
62,70,אשדוד,ASHDOD,5.0,7355,114.0,70000212,99.6,99.6
63,70,אשדוד,ASHDOD,5.0,3365,139.0,70000142,48.9,48.9
64,70,אשדוד,ASHDOD,5.0,4454,151.0,70000322,78.7,78.7
65,70,אשדוד,ASHDOD,5.0,4717,156.0,70000143,60,60.0
66,70,אשדוד,ASHDOD,5.0,3355,174.0,70000221,62.5,62.5
67,70,אשדוד,ASHDOD,5.0,3885,214.0,70000223,37.8,37.8
68,70,אשדוד,ASHDOD,5.0,4002,217.0,70000222,30.5,30.5
69,70,אשדוד,ASHDOD,5.0,1773,247.0,70000132,..,0.0
70,70,אשדוד,ASHDOD,5.0,3993,268.0,70000133,..,0.0
71,70,אשדוד,ASHDOD,5.0,2271,303.0,70000125,8.3,8.3
72,70,אשדוד,ASHDOD,5.0,3860,304.0,70000126,..,0.0
73,70,אשדוד,ASHDOD,5.0,2088,338.0,70000131,2.8,2.8
74,70,אשדוד,ASHDOD,5.0,2810,367.0,70000122,..,0.0
75,70,אשדוד,ASHDOD,5.0,3872,384.0,70000234,,0.0
76,70,אשדוד,ASHDOD,5.0,5317,395.0,70000323,21.8,21.8
77,70,אשדוד,ASHDOD,5.0,2577,409.0,70000242,..,0.0
78,70,אשדוד,ASHDOD,5.0,3993,429.0,70000123,4.3,4.3
79,70,אשדוד,ASHDOD,5.0,4688,539.0,70000321,7.3,7.3
80,70,אשדוד,ASHDOD,5.0,5748,635.0,70000241,2.5,2.5
81,70,אשדוד,ASHDOD,5.0,1813,688.0,70000332,,0.0
82,70,אשדוד,ASHDOD,5.0,3191,692.0,70000232,2.2,2.2
83,70,אשדוד,ASHDOD,5.0,5009,703.0,70000333,38.7,38.7
84,70,אשדוד,ASHDOD,5.0,3301,728.0,70000231,,0.0
85,70,אשדוד,ASHDOD,5.0,2759,782.0,70000331,5.3,5.3
86,70,אשדוד,ASHDOD,5.0,3180,804.0,70000343,..,0.0
87,70,אשדוד,ASHDOD,5.0,3177,826.0,70000243,,0.0
88,70,אשדוד,ASHDOD,5.0,3789,828.0,70000233,..,0.0
89,70,אשדוד,ASHDOD,5.0,4203,868.0,70000342,1.8,1.8
90,70,אשדוד,ASHDOD,5.0,4277,889.0,70000411,,0.0
91,70,אשדוד,ASHDOD,5.0,4608,902.0,70000423,..,0.0
