,route_desc,stop_code,StationOrder,trip_km_fact,stop_name,stop_lat,stop_lon
0,31077-2-1,1098,16,14.21,קרן היסוד/אחד העם,31.773638,35.219473
1,10106-2-#,1098,57,21.083,קרן היסוד/אחד העם,31.773638,35.219473
2,10102-1-#,1098,33,16.327,קרן היסוד/אחד העם,31.773638,35.219473
3,31077-2-0,1098,16,12.906,קרן היסוד/אחד העם,31.773638,35.219473
4,11209-1-#,1098,12,32.994,קרן היסוד/אחד העם,31.773638,35.219473
5,17072-2-0,1098,27,19.627,קרן היסוד/אחד העם,31.773638,35.219473
6,17071-2-0,1098,28,21.221,קרן היסוד/אחד העם,31.773638,35.219473
7,18007-1-#,1098,15,12.697,קרן היסוד/אחד העם,31.773638,35.219473
8,12265-2-#,1098,23,35.548,קרן היסוד/אחד העם,31.773638,35.219473
9,19075-1-0,1098,31,17.248,קרן היסוד/אחד העם,31.773638,35.219473
10,17108-1-#,1098,15,19.35,קרן היסוד/אחד העם,31.773638,35.219473
11,11264-2-#,1098,52,54.627,קרן היסוד/אחד העם,31.773638,35.219473
12,21078-1-1,1098,31,13.841,קרן היסוד/אחד העם,31.773638,35.219473
13,10107-1-#,1098,42,21.389,קרן היסוד/אחד העם,31.773638,35.219473
14,11103-1-#,1098,15,22.225,קרן היסוד/אחד העם,31.773638,35.219473
15,18074-1-0,1098,27,20.604,קרן היסוד/אחד העם,31.773638,35.219473
16,21078-1-0,1098,29,12.901,קרן היסוד/אחד העם,31.773638,35.219473
17,23034-2-#,1098,15,11.605,קרן היסוד/אחד העם,31.773638,35.219473
18,18007-1-א,1098,18,15.126,קרן היסוד/אחד העם,31.773638,35.219473
19,22066-1-#,1622,32,17.193,ככר הדוידקה/הנביאים,31.785078,35.215587
20,18074-1-0,1622,31,20.604,ככר הדוידקה/הנביאים,31.785078,35.215587
21,13045-2-#,1622,29,13.382,ככר הדוידקה/הנביאים,31.785078,35.215587
22,21078-1-1,1622,35,13.841,ככר הדוידקה/הנביאים,31.785078,35.215587
23,11209-2-#,1622,66,34.694,ככר הדוידקה/הנביאים,31.785078,35.215587
24,10267-2-#,1622,60,33.16,ככר הדוידקה/הנביאים,31.785078,35.215587
25,13211-2-א,1622,56,36.876,ככר הדוידקה/הנביאים,31.785078,35.215587
26,11269-2-1,1622,29,35.296,ככר הדוידקה/הנביאים,31.785078,35.215587
27,22066-1-א,1622,35,17.455,ככר הדוידקה/הנביאים,31.785078,35.215587
28,12025-2-ב,1622,40,16.265,ככר הדוידקה/הנביאים,31.785078,35.215587
29,18007-1-#,1622,19,12.697,ככר הדוידקה/הנביאים,31.785078,35.215587
30,21078-1-0,1622,33,12.901,ככר הדוידקה/הנביאים,31.785078,35.215587
31,13270-2-#,1622,35,34.487,ככר הדוידקה/הנביאים,31.785078,35.215587
32,18018-2-#,1622,31,11.794,ככר הדוידקה/הנביאים,31.785078,35.215587
33,12890-1-#,1622,22,11.382,ככר הדוידקה/הנביאים,31.785078,35.215587
34,18007-1-א,1622,22,15.126,ככר הדוידקה/הנביאים,31.785078,35.215587
35,19075-1-0,1622,35,17.248,ככר הדוידקה/הנביאים,31.785078,35.215587
36,12025-2-#,1622,28,12.041,ככר הדוידקה/הנביאים,31.785078,35.215587
37,11103-2-#,1622,44,21.162,ככר הדוידקה/הנביאים,31.785078,35.215587
38,16217-2-0,1622,6,41.813,ככר הדוידקה/הנביאים,31.785078,35.215587
39,39092-3-0,1622,40,12.991,ככר הדוידקה/הנביאים,31.785078,35.215587
40,21284-1-0,5235,21,35.856,שלמון/הרי יהודה,31.715909,35.097111
41,12184-1-0,5235,30,41.509,שלמון/הרי יהודה,31.715909,35.097111
42,12192-1-0,5235,16,35.412,שלמון/הרי יהודה,31.715909,35.097111
43,11194-1-0,5235,39,50.911,שלמון/הרי יהודה,31.715909,35.097111
44,10102-2-#,1083,12,17.173,קרן היסוד/שלום עליכם,31.772563,35.221077
45,31077-1-0,1083,24,12.96,קרן היסוד/שלום עליכם,31.772563,35.221077
46,18018-1-#,1083,12,12.368,קרן היסוד/שלום עליכם,31.772563,35.221077
47,17072-1-0,1083,30,19.564,קרן היסוד/שלום עליכם,31.772563,35.221077
48,11103-2-#,1083,48,21.162,קרן היסוד/שלום עליכם,31.772563,35.221077
49,17108-2-#,1083,35,17.661,קרן היסוד/שלום עליכם,31.772563,35.221077
50,18007-2-א,1083,22,14.862,קרן היסוד/שלום עליכם,31.772563,35.221077
51,11209-2-#,1083,70,34.694,קרן היסוד/שלום עליכם,31.772563,35.221077
52,31077-1-1,1083,26,14.234,קרן היסוד/שלום עליכם,31.772563,35.221077
53,11260-1-#,1083,11,54.082,קרן היסוד/שלום עליכם,31.772563,35.221077
54,11264-1-#,1083,12,56.8,קרן היסוד/שלום עליכם,31.772563,35.221077
55,12265-1-#,1083,11,37.736,קרן היסוד/שלום עליכם,31.772563,35.221077
56,10107-2-#,1083,12,23.918,קרן היסוד/שלום עליכם,31.772563,35.221077
57,21078-2-0,1083,12,12.625,קרן היסוד/שלום עליכם,31.772563,35.221077
58,18074-2-0,1083,33,20.016,קרן היסוד/שלום עליכם,31.772563,35.221077
59,17071-1-0,1083,30,21.336,קרן היסוד/שלום עליכם,31.772563,35.221077
60,18007-2-#,1083,22,12.243,קרן היסוד/שלום עליכם,31.772563,35.221077
61,10106-1-#,1083,12,21.762,קרן היסוד/שלום עליכם,31.772563,35.221077
62,19075-2-0,1083,16,17.193,קרן היסוד/שלום עליכם,31.772563,35.221077
