makat,day_period,East_JLM_lines,service_types,Directness_measurements,Settlements_lines,West_metropolin_lines,InJerusalem_lines,percent_problematic_trips,number_of_complaints,passengersnumber_thousands,socioeco_2019
12035-2-ב,2,0,3,0.41,0,0,1,0.0,1.0,7.726,2.0
12035-2-ב,1,0,3,0.41,0,0,1,0.0,2.0,7.726,2.0
12035-2-ב,3,0,3,0.41,0,0,1,0.0,1.0,7.726,2.0
14023-3-#,2,0,3,0.42,0,0,1,1.64,,10.446,2.0
14023-3-#,1,0,3,0.42,0,0,1,0.0,2.0,10.446,2.0
14023-3-#,3,0,3,0.42,0,0,1,0.0,1.0,10.446,2.0
15019-2-ב,2,0,3,0.85,0,0,1,0.0,1.0,0.514,2.0
15019-2-ב,1,0,3,0.85,0,0,1,,,0.514,2.0
15019-2-ב,3,0,3,0.85,0,0,1,,,0.514,2.0
13033-1-ו,2,0,3,0.51,0,0,1,,,2.317,2.0
13033-1-ו,1,0,3,0.51,0,0,1,0.0,,2.317,2.0
13033-1-ו,3,0,3,0.51,0,0,1,0.0,,2.317,2.0
14024-3-ב,2,0,3,0.83,0,0,1,0.0,,0.262,2.0
14024-3-ב,1,0,3,0.83,0,0,1,0.0,,0.262,2.0
14024-3-ב,3,0,3,0.83,0,0,1,0.0,,0.262,2.0
16057-2-ז,2,0,3,0.29,0,0,1,0.0,17.0,16.568,2.0
16057-2-ז,1,0,3,0.29,0,0,1,0.0,27.0,16.568,2.0
16057-2-ז,3,0,3,0.29,0,0,1,0.0,6.0,16.568,2.0
18007-2-#,2,0,3,0.45,0,0,1,0.0,1.0,11.977,2.0
18007-2-#,1,0,3,0.45,0,0,1,0.0,6.0,11.977,2.0
18007-2-#,3,0,3,0.45,0,0,1,1.35,1.0,11.977,2.0
21003-2-1,2,0,3,0.51,0,0,1,,,0.157,2.0
21003-2-1,1,0,3,0.51,0,0,1,0.0,2.0,0.157,2.0
21003-2-1,3,0,3,0.51,0,0,1,0.0,,0.157,2.0
34001-2-2,2,0,3,0.73,0,0,1,,,0.056,2.0
34001-2-2,1,0,3,0.73,0,0,1,0.0,,0.056,2.0
34001-2-2,3,0,3,0.73,0,0,1,25.0,1.0,0.056,2.0
14009-2-ד,2,0,3,0.28,0,0,1,0.0,1.0,13.766,2.0
14009-2-ד,1,0,3,0.28,0,0,1,0.0,17.0,13.766,2.0
14009-2-ד,3,0,3,0.28,0,0,1,0.0,3.0,13.766,2.0
13033-2-ו,2,0,3,0.48,0,0,1,,,0.522,2.0
13033-2-ו,1,0,3,0.48,0,0,1,0.0,,0.522,2.0
13033-2-ו,3,0,3,0.48,0,0,1,,,0.522,2.0
13068-1-#,2,0,3,0.69,0,0,1,0.83,4.0,24.439,2.0
13068-1-#,1,0,3,0.69,0,0,1,0.33,25.0,24.439,2.0
13068-1-#,3,0,3,0.69,0,0,1,0.0,6.0,24.439,2.0
15098-1-ד,2,0,3,0.61,0,0,1,0.0,,0.133,2.0
15098-1-ד,1,0,3,0.61,0,0,1,,,0.133,2.0
15098-1-ד,3,0,3,0.61,0,0,1,0.0,,0.133,2.0
17021-1-#,2,0,3,0.61,0,0,1,,,0.771,2.0
17021-1-#,1,0,3,0.61,0,0,1,0.0,,0.771,2.0
17021-1-#,3,0,3,0.61,0,0,1,,,0.771,2.0
15048-3-#,2,0,3,0.52,0,0,1,0.0,,0.05,2.0
15048-3-#,1,0,3,0.52,0,0,1,0.0,2.0,0.05,2.0
15048-3-#,3,0,3,0.52,0,0,1,,,0.05,2.0
13036-1-#,2,0,3,0.83,0,0,1,,,0.241,2.0
13036-1-#,1,0,3,0.83,0,0,1,0.0,13.0,0.241,2.0
13036-1-#,3,0,3,0.83,0,0,1,,,0.241,2.0
10803-1-ט,2,0,3,0.6,0,0,1,11.11,,0.734,2.0
10803-1-ט,1,0,3,0.6,0,0,1,,,0.734,2.0
10803-1-ט,3,0,3,0.6,0,0,1,,,0.734,2.0
15019-1-5,2,0,3,0.84,0,0,1,0.0,,0.796,2.0
15019-1-5,1,0,3,0.84,0,0,1,0.0,1.0,0.796,2.0
15019-1-5,3,0,3,0.84,0,0,1,,,0.796,2.0
18007-1-א,2,0,3,0.46,0,0,1,0.0,,0.695,2.09
18007-1-א,1,0,3,0.46,0,0,1,0.0,1.0,0.695,2.09
18007-1-א,3,0,3,0.46,0,0,1,0.0,1.0,0.695,2.09
13016-2-ב,2,0,3,0.46,0,0,1,,,6.276,2.0
13016-2-ב,1,0,3,0.46,0,0,1,0.0,2.0,6.276,2.0
13016-2-ב,3,0,3,0.46,0,0,1,0.0,7.0,6.276,2.0
12716-1-#,2,0,3,0.38,0,0,1,0.0,5.0,1.412,2.0
12716-1-#,1,0,3,0.38,0,0,1,0.0,1.0,1.412,2.0
12716-1-#,3,0,3,0.38,0,0,1,,,1.412,2.0
21003-1-#,2,0,3,0.38,0,0,1,,,0.2,2.0
21003-1-#,1,0,3,0.38,0,0,1,0.0,12.0,0.2,2.0
21003-1-#,3,0,3,0.38,0,0,1,,,0.2,2.0
34001-1-ו,2,0,3,0.25,0,0,1,,,0.083,2.0
34001-1-ו,1,0,3,0.25,0,0,1,0.0,2.0,0.083,2.0
34001-1-ו,3,0,3,0.25,0,0,1,,,0.083,2.0
10904-2-#,2,0,3,0.24,0,0,1,,,0.583,2.0
10904-2-#,1,0,3,0.24,0,0,1,0.0,,0.583,2.0
10904-2-#,3,0,3,0.24,0,0,1,0.0,,0.583,2.0
16096-2-ד,2,0,3,0.54,0,0,1,,,0.274,2.0
16096-2-ד,1,0,3,0.54,0,0,1,0.0,,0.274,2.0
16096-2-ד,3,0,3,0.54,0,0,1,,,0.274,2.0
14860-2-#,2,0,3,0.44,0,0,1,,,0.044,2.0
14860-2-#,1,0,3,0.44,0,0,1,,,0.044,2.0
14860-2-#,3,0,3,0.44,0,0,1,0.0,,0.044,2.0
11785-2-#,2,0,3,0.7,0,0,1,,,0.246,2.0
11785-2-#,1,0,3,0.7,0,0,1,0.0,,0.246,2.0
11785-2-#,3,0,3,0.7,0,0,1,0.0,,0.246,2.0
12053-1-א,2,0,3,0.51,0,0,1,,,0.666,2.0
12053-1-א,1,0,3,0.51,0,0,1,,,0.666,2.0
12053-1-א,3,0,3,0.51,0,0,1,0.0,,0.666,2.0
10781-1-#,2,0,3,0.66,0,0,1,0.0,,0.647,2.0
10781-1-#,1,0,3,0.66,0,0,1,,,0.647,2.0
10781-1-#,3,0,3,0.66,0,0,1,,,0.647,2.0
11787-2-#,2,0,3,0.82,0,0,1,,,0.168,2.0
11787-2-#,1,0,3,0.82,0,0,1,0.0,,0.168,2.0
11787-2-#,3,0,3,0.82,0,0,1,0.0,,0.168,2.0
10812-2-#,2,0,3,0.45,0,0,1,,,0.128,2.0
10812-2-#,1,0,3,0.45,0,0,1,0.0,,0.128,2.0
10812-2-#,3,0,3,0.45,0,0,1,,,0.128,2.0
10792-2-#,2,0,3,0.29,0,0,1,,,0.147,2.0
10792-2-#,1,0,3,0.29,0,0,1,0.0,,0.147,2.0
10792-2-#,3,0,3,0.29,0,0,1,,,0.147,2.0
10791-1-#,2,0,3,0.54,0,0,1,0.0,,0.261,2.0
10791-1-#,1,0,3,0.54,0,0,1,,,0.261,2.0
10791-1-#,3,0,3,0.54,0,0,1,,,0.261,2.0
12065-2-א,2,0,3,0.93,0,0,1,0.0,1.0,13.942,2.0
12065-2-א,1,0,3,0.93,0,0,1,0.0,8.0,13.942,2.0
12065-2-א,3,0,3,0.93,0,0,1,0.0,4.0,13.942,2.0
13016-2-#,2,0,3,0.53,0,0,1,0.0,2.0,8.428,2.0
13016-2-#,1,0,3,0.53,0,0,1,0.0,6.0,8.428,2.0
13016-2-#,3,0,3,0.53,0,0,1,0.0,2.0,8.428,2.0
10742-1-#,2,0,3,0.54,0,0,1,20.0,,0.135,2.0
10742-1-#,1,0,3,0.54,0,0,1,,,0.135,2.0
10742-1-#,3,0,3,0.54,0,0,1,,,0.135,2.0
10754-2-9,2,0,3,0.44,0,0,1,,,0.065,2.0
10754-2-9,1,0,3,0.44,0,0,1,0.0,,0.065,2.0
10754-2-9,3,0,3,0.44,0,0,1,,,0.065,2.0
10815-1-#,2,0,3,0.77,0,0,1,0.0,,0.271,2.0
10815-1-#,1,0,3,0.77,0,0,1,,,0.271,2.0
10815-1-#,3,0,3,0.77,0,0,1,,,0.271,2.0
12039-2-#,2,0,3,0.53,0,0,1,0.0,2.0,32.233,2.0
12039-2-#,1,0,3,0.53,0,0,1,0.0,5.0,32.233,2.0
12039-2-#,3,0,3,0.53,0,0,1,0.0,,32.233,2.0
12065-1-א,2,0,3,0.93,0,0,1,0.0,,19.438,2.0
12065-1-א,1,0,3,0.93,0,0,1,0.0,12.0,19.438,2.0
12065-1-א,3,0,3,0.93,0,0,1,0.0,3.0,19.438,2.0
13054-1-#,2,0,3,0.48,0,0,1,0.0,,12.161,2.0
13054-1-#,1,0,3,0.48,0,0,1,0.0,16.0,12.161,2.0
13054-1-#,3,0,3,0.48,0,0,1,0.0,17.0,12.161,2.0
15019-1-א,2,0,3,0.8,0,0,1,0.0,,16.311,2.0
15019-1-א,1,0,3,0.8,0,0,1,0.0,9.0,16.311,2.0
15019-1-א,3,0,3,0.8,0,0,1,0.0,5.0,16.311,2.0
16057-1-ז,2,0,3,0.25,0,0,1,0.0,18.0,15.658,2.0
16057-1-ז,1,0,3,0.25,0,0,1,0.0,18.0,15.658,2.0
16057-1-ז,3,0,3,0.25,0,0,1,0.0,7.0,15.658,2.0
17021-3-#,2,0,3,0.88,0,0,1,0.0,,20.315,2.0
17021-3-#,1,0,3,0.88,0,0,1,0.0,2.0,20.315,2.0
17021-3-#,3,0,3,0.88,0,0,1,0.0,,20.315,2.0
27029-3-#,2,0,3,0.58,0,0,1,0.94,,16.618,2.0
27029-3-#,1,0,3,0.58,0,0,1,0.0,,16.618,2.0
27029-3-#,3,0,3,0.58,0,0,1,0.0,,16.618,2.0
34088-3-#,2,0,3,0.52,0,0,1,0.0,,1.582,2.0
34088-3-#,1,0,3,0.52,0,0,1,0.0,2.0,1.582,2.0
34088-3-#,3,0,3,0.52,0,0,1,0.0,,1.582,2.0
48063-3-#,2,0,3,0.56,0,0,1,0.0,,5.15,2.0
48063-3-#,1,0,3,0.56,0,0,1,0.0,1.0,5.15,2.0
48063-3-#,3,0,3,0.56,0,0,1,0.0,1.0,5.15,2.0
10107-2-#,2,0,3,0.38,0,0,1,,,0.077,2.0
10107-2-#,1,0,3,0.38,0,0,1,0.0,,0.077,2.0
10107-2-#,3,0,3,0.38,0,0,1,,,0.077,2.0
11103-2-#,2,0,3,0.65,0,0,1,,,0.03,2.0
11103-2-#,1,0,3,0.65,0,0,1,0.0,,0.03,2.0
11103-2-#,3,0,3,0.65,0,0,1,,,0.03,2.0
12053-1-ב,2,0,3,0.49,0,0,1,,,0.338,2.0
12053-1-ב,1,0,3,0.49,0,0,1,0.0,,0.338,2.0
12053-1-ב,3,0,3,0.49,0,0,1,0.0,,0.338,2.0
13033-1-ה,2,0,3,0.54,0,0,1,0.0,1.0,2.882,2.0
13033-1-ה,1,0,3,0.54,0,0,1,0.0,2.0,2.882,2.0
13033-1-ה,3,0,3,0.54,0,0,1,,,2.882,2.0
70004-2-#,2,0,3,0.57,0,0,1,0.0,,0.158,2.0
70004-2-#,1,0,3,0.57,0,0,1,,,0.158,2.0
70004-2-#,3,0,3,0.57,0,0,1,,,0.158,2.0
14009-1-#,2,0,3,0.12,0,0,1,0.0,2.0,0.083,2.0
14009-1-#,1,0,3,0.12,0,0,1,0.0,3.0,0.083,2.0
14009-1-#,3,0,3,0.12,0,0,1,,,0.083,2.0
13016-1-ר,2,0,3,0.56,0,0,1,3.57,1.0,8.627,2.0
13016-1-ר,1,0,3,0.56,0,0,1,0.0,6.0,8.627,2.0
13016-1-ר,3,0,3,0.56,0,0,1,0.0,4.0,8.627,2.0
34001-1-#,2,0,3,0.74,0,0,1,,,0.101,2.0
34001-1-#,1,0,3,0.74,0,0,1,0.0,14.0,0.101,2.0
34001-1-#,3,0,3,0.74,0,0,1,,,0.101,2.0
12745-1-ב,2,0,3,0.69,0,0,1,0.0,,0.153,2.0
12745-1-ב,1,0,3,0.69,0,0,1,,,0.153,2.0
12745-1-ב,3,0,3,0.69,0,0,1,,,0.153,2.0
13027-3-9,2,0,3,0.56,0,1,0,,,0.53,2.37
13027-3-9,1,0,3,0.56,0,1,0,0.0,,0.53,2.37
13027-3-9,3,0,3,0.56,0,1,0,,,0.53,2.37
10784-1-#,2,0,3,0.62,0,0,1,0.0,,0.218,2.0
10784-1-#,1,0,3,0.62,0,0,1,,,0.218,2.0
10784-1-#,3,0,3,0.62,0,0,1,,,0.218,2.0
16028-2-ז,2,0,3,0.84,0,0,1,0.0,,0.365,2.0
16028-2-ז,1,0,3,0.84,0,0,1,0.0,,0.365,2.0
16028-2-ז,3,0,3,0.84,0,0,1,,,0.365,2.0
27029-1-#,2,0,3,0.58,0,0,1,,,0.667,2.0
27029-1-#,1,0,3,0.58,0,0,1,0.0,1.0,0.667,2.0
27029-1-#,3,0,3,0.58,0,0,1,,,0.667,2.0
13042-2-ז,2,0,3,0.74,0,0,1,,,0.028,2.0
13042-2-ז,1,0,3,0.74,0,0,1,0.0,1.0,0.028,2.0
13042-2-ז,3,0,3,0.74,0,0,1,,,0.028,2.0
16028-1-ך,2,0,3,0.71,0,0,1,,,0.164,2.0
16028-1-ך,1,0,3,0.71,0,0,1,0.0,,0.164,2.0
16028-1-ך,3,0,3,0.71,0,0,1,0.0,,0.164,2.0
13033-2-ח,2,0,3,0.49,0,0,1,,,0.089,2.0
13033-2-ח,1,0,3,0.49,0,0,1,0.0,,0.089,2.0
13033-2-ח,3,0,3,0.49,0,0,1,,,0.089,2.0
13064-1-#,2,0,3,0.63,0,0,1,0.0,3.0,19.713,2.0
13064-1-#,1,0,3,0.63,0,0,1,0.0,23.0,19.713,2.0
13064-1-#,3,0,3,0.63,0,0,1,0.0,21.0,19.713,2.0
10800-1-#,2,0,3,0.59,0,0,1,0.0,,0.366,2.0
